z_m,Bx_T,By_T,Bz_T
-1.000000000000000021e-03,-3.188267253617980616e-11,-2.229911443246908907e-09,8.446738431196535490e-06
-9.950000000000000077e-04,-3.181347212987310008e-11,-2.224741451448979681e-09,8.457762987749107715e-06
-9.899999999999999946e-04,-3.174322972167425015e-11,-2.219501248460113151e-09,8.468756263446717105e-06
-9.849999999999999815e-04,-3.167194400072118833e-11,-2.214190772416313373e-09,8.479717969792052631e-06
-9.799999999999999684e-04,-3.159961371423564203e-11,-2.208809965278582121e-09,8.490647818187797472e-06
-9.750000000000000637e-04,-3.152623766818611933e-11,-2.203358772859505299e-09,8.501545519951499526e-06
-9.700000000000000505e-04,-3.145181472736855914e-11,-2.197837144848926557e-09,8.512410786330382628e-06
-9.650000000000000374e-04,-3.137634381609123669e-11,-2.192245034841410930e-09,8.523243328516388160e-06
-9.600000000000000243e-04,-3.129982391874427744e-11,-2.186582400360994494e-09,8.534042857661220050e-06
-9.550000000000000112e-04,-3.122225407990967206e-11,-2.180849202887533378e-09,8.544809084891504970e-06
-9.499999999999999981e-04,-3.114363340519466092e-11,-2.175045407881455492e-09,8.555541721324088055e-06
-9.449999999999999850e-04,-3.106396106132851419e-11,-2.169170984809262915e-09,8.566240478081276109e-06
-9.399999999999999719e-04,-3.098323627673039139e-11,-2.163225907168138863e-09,8.576905066306358635e-06
-9.350000000000000672e-04,-3.090145834200689047e-11,-2.157210152510578653e-09,8.587535197179039083e-06
-9.300000000000000541e-04,-3.081862661025893183e-11,-2.151123702468182718e-09,8.598130581931084630e-06
-9.250000000000000409e-04,-3.073474049754704744e-11,-2.144966542775966210e-09,8.608690931861928529e-06
-9.200000000000000278e-04,-3.064979948351259345e-11,-2.138738663295775653e-09,8.619215958354472349e-06
-9.150000000000000147e-04,-3.056380311126897598e-11,-2.132440058039283324e-09,8.629705372890920419e-06
-9.100000000000000016e-04,-3.047675098815024952e-11,-2.126070725191235580e-09,8.640158887068651522e-06
-9.049999999999999885e-04,-3.038864278644441257e-11,-2.119630667132118842e-09,8.650576212616261704e-06
-8.999999999999999754e-04,-3.029947824309479546e-11,-2.113119890459978972e-09,8.660957061409524070e-06
-8.949999999999999623e-04,-3.020925716050987013e-11,-2.106538406012501200e-09,8.671301145487683999e-06
-8.900000000000000576e-04,-3.011797940668898161e-11,-2.099886228888759187e-09,8.681608177069520587e-06
