r_m,Bx_T,By_T,Bz_T,Brho_xy_T
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.685637029493535211e-06,0.000000000000000000e+00
3.624999999999999598e-06,0.000000000000000000e+00,0.000000000000000000e+00,9.685646444051903198e-06,0.000000000000000000e+00
7.249999999999999195e-06,0.000000000000000000e+00,0.000000000000000000e+00,9.685674114321473762e-06,0.000000000000000000e+00
1.087499999999999837e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.685720040701060508e-06,0.000000000000000000e+00
1.449999999999999839e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.685784223849587307e-06,0.000000000000000000e+00
1.812499999999999672e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.685866664686191633e-06,0.000000000000000000e+00
2.174999999999999674e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.685967364390173740e-06,0.000000000000000000e+00
2.537499999999999676e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.686086324401116946e-06,0.000000000000000000e+00
2.899999999999999678e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.686223546418865603e-06,0.000000000000000000e+00
3.262499999999999341e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.686379032403696202e-06,0.000000000000000000e+00
3.624999999999999344e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.686552784576247916e-06,0.000000000000000000e+00
3.987499999999999346e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.686744805417714030e-06,0.000000000000000000e+00
4.349999999999999348e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.686955097669926640e-06,0.000000000000000000e+00
4.712499999999999350e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.687183664335385458e-06,0.000000000000000000e+00
5.074999999999999352e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.687430508677474648e-06,0.000000000000000000e+00
5.437499999999999354e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.687695634220472993e-06,0.000000000000000000e+00
5.799999999999999356e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.687979044749762264e-06,0.000000000000000000e+00
6.162499999999999358e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.688280744311962746e-06,0.000000000000000000e+00
6.524999999999998683e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.688600737215055208e-06,0.000000000000000000e+00
6.887499999999999363e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.688939028028562174e-06,0.000000000000000000e+00
7.249999999999998687e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.689295621583693605e-06,0.000000000000000000e+00
7.612499999999999367e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.689670522973546806e-06,0.000000000000000000e+00
7.974999999999998691e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.690063737553341895e-06,0.000000000000000000e+00
8.337499999999999371e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.690475270940499734e-06,0.000000000000000000e+00
8.699999999999998696e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.690905129014997684e-06,0.000000000000000000e+00
9.062499999999999375e-05,0.000000000000000000e+00,0.000000000000000000e+00,9.691353317919462773e-06,0.000000000000000000e+00
