r_m,Bx_T,By_T,Bz_T,Brho_xy_T_z_probe
0.000000000000000000e+00,4.282823027748936705e-14,2.947663114905922023e-12,9.685635640326091346e-06,2.947974236028120989e-12
3.624999999999999598e-06,5.078670091764445897e-12,2.948912482703111394e-12,9.685645054877686457e-06,5.872731454070151683e-12
7.249999999999999195e-06,1.011458497643175831e-11,2.950176796556655952e-12,9.685672725127294149e-06,1.053605108076077572e-11
1.087499999999999837e-05,1.515064463793858506e-11,2.951456075706992828e-12,9.685718651473700921e-06,1.543545029832058203e-11
1.449999999999999839e-05,2.018692083535678822e-11,2.952750339739349279e-12,9.685782834575864525e-06,2.040172804891274160e-11
1.812499999999999672e-05,2.522348533584612721e-11,2.954059608583475711e-12,9.685865275352905493e-06,2.539587920625527244e-11
2.174999999999999674e-05,3.026040991732703776e-11,2.955383902514700253e-12,9.685965974984119000e-06,3.040438623580334160e-11
2.537499999999999676e-05,3.529776637115002121e-11,2.956723242155613410e-12,9.686084934909093444e-06,3.542138511017027649e-11
2.899999999999999678e-05,4.033562650477468547e-11,2.958077648475378610e-12,9.686222156827676565e-06,4.044394873039836366e-11
3.262499999999999341e-05,4.537406214444145761e-11,2.959447142791768254e-12,9.686377642700109281e-06,4.547047220866101427e-11
3.624999999999999344e-05,5.041314513784799135e-11,2.960831746771406044e-12,9.686551394747054480e-06,5.050001710219924734e-11
3.987499999999999346e-05,5.545294735683124200e-11,2.962231482430790871e-12,9.686743415449717304e-06,5.553201046166977041e-11
4.349999999999999348e-05,6.049354070004237477e-11,2.963646372137411967e-12,9.686953707549882418e-06,6.056609337118224643e-11
4.712499999999999350e-05,6.553499709563137291e-11,2.965076438610413724e-12,9.687182274050088496e-06,6.560203901260398935e-11
5.074999999999999352e-05,7.057738850393089634e-11,2.966521704921079962e-12,9.687429118213673962e-06,7.063970568356414989e-11
5.437499999999999354e-05,7.562078692014077997e-11,2.967982194494722151e-12,9.687694243564932847e-06,7.567900853425719090e-11
5.799999999999999356e-05,8.066526437701713328e-11,2.969457931111022316e-12,9.687977653889253698e-06,8.071990186700369275e-11
6.162499999999999358e-05,8.571089294756574378e-11,2.970948938905179296e-12,9.688279353233233081e-06,8.576236766476691682e-11
6.524999999999998683e-05,9.075774474773281798e-11,2.972455242368654340e-12,9.688599345904831439e-06,9.080640793392561588e-11
6.887499999999999363e-05,9.580589193910430441e-11,2.973976866350588782e-12,9.688937636473574682e-06,9.585203946003924236e-11
7.249999999999998687e-05,1.008554067316062893e-10,2.975513836058453913e-12,9.689294229770665997e-06,1.008992901342041727e-10
7.612499999999999367e-05,1.059063613862070726e-10,2.977066177059738461e-12,9.689669130889214544e-06,1.059481963276793397e-10
7.974999999999998691e-05,1.109588282176272829e-10,2.978633915281885583e-12,9.690062345184387928e-06,1.109988009819483896e-10
8.337499999999999371e-05,1.160128795970493079e-10,2.980217077014574073e-12,9.690473878273642586e-06,1.160511521968894152e-10
8.699999999999998696e-05,1.210685879548321783e-10,2.981815688910018459e-12,9.690903736036905056e-06,1.211053021720335839e-10
9.062499999999999375e-05,1.261260257832340651e-10,2.983429777984624173e-12,9.691351924616819306e-06,1.261613064022134692e-10
9.424999999999998700e-05,1.311852656391320750e-10,2.985059371619917316e-12,9.691818450418961887e-06,1.312192230592063159e-10
9.787499999999999380e-05,1.362463801467537820e-10,2.986704497563276528e-12,9.692303320112097731e-06,1.362791125112337540e-10
1.014999999999999870e-04,1.413094420004109816e-10,2.988365183930049800e-12,9.692806540628378360e-06,1.413410369458921233e-10
1.051249999999999938e-04,1.463745239672345052e-10,2.990041459203974132e-12,9.693328119163670533e-06,1.464050600715776766e-10
1.087499999999999871e-04,1.514416988899210282e-10,2.991733352238870281e-12,9.693868063177776476e-06,1.514712468791235776e-10
1.123749999999999939e-04,1.565110396894820755e-10,2.993440892259228409e-12,9.694426380394752365e-06,1.565396634500601073e-10
1.159999999999999871e-04,1.615826193679951729e-10,2.995164108862501008e-12,9.695003078803147192e-06,1.616103768013101079e-10
1.196249999999999804e-04,1.666565110113690079e-10,2.996903032019438535e-12,9.695598166656336492e-06,1.666834547586109103e-10
1.232499999999999872e-04,1.717327877921053863e-10,2.998657692075776898e-12,9.696211652472839135e-06,1.717589658527395373e-10
1.268749999999999804e-04,1.768115229720727944e-10,3.000428119753811839e-12,9.696843545036615484e-06,1.768369792339985396e-10
1.304999999999999737e-04,1.818927899052890861e-10,3.002214346153386468e-12,9.697493853397387570e-06,1.819175646014146856e-10
1.341249999999999940e-04,1.869766620407004743e-10,3.004016402753166362e-12,9.698162586871023646e-06,1.870007921438578420e-10
1.377499999999999873e-04,1.920632129249783830e-10,3.005834321412505162e-12,9.698849755039829569e-06,1.920867324909072462e-10
1.413749999999999805e-04,1.971525162053183940e-10,3.007668134372509654e-12,9.699555367752957065e-06,1.971754566717035622e-10
1.449999999999999737e-04,2.022446456322441570e-10,3.009517874256798282e-12,9.700279435126745933e-06,2.022670360803942118e-10
1.486249999999999941e-04,2.073396750624234221e-10,3.011383574075067967e-12,9.701021967545115377e-06,2.073615424470543827e-10
1.522499999999999873e-04,2.124376784614900697e-10,3.013265267221842826e-12,9.701782975659950246e-06,2.124590478131681809e-10
1.558749999999999806e-04,2.175387299068701739e-10,3.015162987479804713e-12,9.702562470391494064e-06,2.175596245109263927e-10
